datetime,Open,High,Low,Close,Volume
2017-07-03 09:15:00+05:30,128.36,132.63,127.97,132.48,1843760
2017-07-03 09:45:00+05:30,132.48,134.61,131.61,132.33,3373001
2017-07-03 10:15:00+05:30,132.33,133.06,131.7,132.96,733689
2017-07-03 10:45:00+05:30,132.96,133.3,132.43,132.67,351134
2017-07-03 11:15:00+05:30,132.67,132.82,132.38,132.53,220811
2017-07-03 11:45:00+05:30,132.53,133.3,132.48,132.96,353814
2017-07-03 12:15:00+05:30,132.96,133.21,132.67,133.01,162760
2017-07-03 12:45:00+05:30,133.01,133.06,132.14,132.38,266152
2017-07-03 13:15:00+05:30,132.38,132.82,131.27,131.95,509866
2017-07-03 13:45:00+05:30,131.95,132.33,131.51,132.0,254543
2017-07-03 14:15:00+05:30,132.0,132.48,131.9,132.14,215180
2017-07-03 14:45:00+05:30,132.14,132.72,131.9,132.58,473417
2017-07-03 15:15:00+05:30,132.53,132.63,132.0,132.04,526558
2017-07-04 09:15:00+05:30,132.58,133.26,131.7,132.24,695942
2017-07-04 09:45:00+05:30,132.24,132.33,131.37,131.56,239315
2017-07-04 10:15:00+05:30,131.61,131.8,130.59,131.03,230249
2017-07-04 10:45:00+05:30,131.03,131.56,130.59,131.27,226441
2017-07-04 11:15:00+05:30,131.27,131.41,130.64,130.98,157423
2017-07-04 11:45:00+05:30,130.98,131.41,130.74,130.93,144931
2017-07-04 12:15:00+05:30,130.93,130.93,128.89,129.77,555844
2017-07-04 12:45:00+05:30,129.77,130.49,129.57,130.1,221499
2017-07-04 13:15:00+05:30,129.96,130.49,129.77,130.15,123661
2017-07-04 13:45:00+05:30,130.15,130.54,129.91,130.3,69701
2017-07-04 14:15:00+05:30,130.3,130.4,129.91,130.15,187250
2017-07-04 14:45:00+05:30,130.15,130.35,129.14,129.33,378239
2017-07-04 15:15:00+05:30,129.43,129.67,129.14,129.43,378571
2017-07-05 09:15:00+05:30,130.01,130.1,128.46,129.14,450758
2017-07-05 09:45:00+05:30,129.14,130.35,128.99,129.72,315799
2017-07-05 10:15:00+05:30,129.72,129.91,129.28,129.57,177795
2017-07-05 10:45:00+05:30,129.57,129.81,129.18,129.52,117865
2017-07-05 11:15:00+05:30,129.52,129.72,129.23,129.33,96427
2017-07-05 11:45:00+05:30,129.33,129.62,129.14,129.38,48207
2017-07-05 12:15:00+05:30,129.38,129.57,129.14,129.23,86491
2017-07-05 12:45:00+05:30,129.38,130.1,129.18,129.77,122457
2017-07-05 13:15:00+05:30,129.77,131.12,129.72,130.49,383524
2017-07-05 13:45:00+05:30,130.49,131.85,130.01,131.32,813770
2017-07-05 14:15:00+05:30,131.37,131.85,130.74,131.07,508911
2017-07-05 14:45:00+05:30,131.12,131.41,130.64,131.12,827571
2017-07-05 15:15:00+05:30,131.17,131.51,130.98,131.07,335287
2017-07-06 09:15:00+05:30,130.88,131.12,130.1,130.69,292702
2017-07-06 09:45:00+05:30,130.69,130.78,129.77,130.2,164792
2017-07-06 10:15:00+05:30,130.2,130.44,129.77,130.3,143452
2017-07-06 10:45:00+05:30,130.3,130.83,130.2,130.59,184748
2017-07-06 11:15:00+05:30,130.59,131.51,130.59,130.78,534469
2017-07-06 11:45:00+05:30,130.78,131.85,130.59,131.32,261286
2017-07-06 12:15:00+05:30,131.32,131.66,131.17,131.46,144329
2017-07-06 12:45:00+05:30,131.46,131.66,131.22,131.46,156575
2017-07-06 13:15:00+05:30,131.46,131.46,130.88,130.93,57405
2017-07-06 13:45:00+05:30,130.93,131.32,130.88,130.98,68379
2017-07-06 14:15:00+05:30,130.98,131.66,130.93,131.03,106775
2017-07-06 14:45:00+05:30,131.03,131.37,130.88,130.93,491569
2017-07-06 15:15:00+05:30,130.93,131.22,130.44,130.54,332596
2017-07-07 09:15:00+05:30,130.35,131.8,130.01,131.46,385944
2017-07-07 09:45:00+05:30,131.37,131.51,130.2,130.54,192561
2017-07-07 10:15:00+05:30,130.64,130.98,130.2,130.83,105196
2017-07-07 10:45:00+05:30,130.88,130.88,130.64,130.78,49356
